ticker,name,sector,market_cap_cr,price,roe,roa,profit_margin,debt_to_equity,earnings_growth,revenue_growth,pe,forward_pe,pb,dividend_yield,six_month_return,pct_from_52w_high,above_200dma,quality_score,growth_score,valuation_score,momentum_score,rank_scope,total_score
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,993085.0435072,1384.5,16.36,2.08,24.93,,8.4,66.9,18.957962,15.245184,2.7308447,0.85,-3.0258424493477043,-6.275498942794034,True,100.0,87.5,37.5,91.66666666666667,"sector (Financial Services, n=4)",79.6
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,464295.297024,1935.1,14.72,8.43,19.64,5.517,25.6,12.8,40.50021,29.922504,5.5614634,0.84,10.940491692693023,0.0,True,76.19047619047619,64.28571428571428,57.14285714285714,95.23809523809524,whole-list fallback (small sector group),72.3
NESTLEIND.NS,NESTLE INDIA LIMITED,Consumer Defensive,284349.2220928,1474.6,76.34,22.58,15.14,8.621,27.4,23.0,82.65695,61.975193,55.13966,0.82,12.759468612016377,-0.7738375741151438,True,55.55555555555554,100.0,33.33333333333333,100.0,"sector (Consumer Defensive, n=3)",70.0
TCS.NS,TATA CONSULTANCY SERV LT,Technology,740984.3044352,2048.0,48.4,24.44,18.43,10.389,12.2,9.6,15.337378,12.501985,6.9095817,5.92,-35.86891173425172,-37.09480343850817,False,83.33333333333333,100.0,37.5,16.666666666666668,"sector (Technology, n=4)",62.7
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,406845.5481344,1307.8,13.15,1.47,35.39,,6.4,-11.0,15.852121,10.949162,1.8903242,0.07,0.9494441395696551,-6.785456248886312,True,37.5,31.25,100.0,91.66666666666667,"sector (Financial Services, n=4)",62.4
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,508240.1210368,2163.1,21.6,10.71,23.33,3.016,21.4,4.3,49.40841,40.3051,10.427794,1.99,-8.931303508290645,-18.209939310510613,False,66.66666666666667,66.66666666666666,66.66666666666666,44.444444444444436,"sector (Consumer Defensive, n=3)",62.2
ITC.NS,ITC LTD,Consumer Defensive,354583.9435776,283.0,29.34,17.59,26.23,3.293,-72.7,-5.0,17.6324,16.036674,4.890356,5.54,-13.024919176107453,-30.09833735493569,False,77.77777777777777,33.33333333333333,100.0,22.222222222222218,"sector (Consumer Defensive, n=3)",61.1
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,259466.6708992,2706.6,20.89,10.56,12.15,17.847,69.2,10.6,60.053253,46.20669,12.147734,1.01,-4.066255364249782,-8.03157886353787,True,76.19047619047619,57.14285714285714,28.57142857142857,80.95238095238095,whole-list fallback (small sector group),60.5
INFY.NS,INFOSYS LIMITED,Technology,426878.4877568,1054.3,31.44,15.09,16.43,9.827,11.8,6.6,14.005049,12.936206,4.6043873,4.67,-34.282218701951415,-36.25787438127489,False,75.0,62.5,62.5,33.333333333333336,"sector (Technology, n=4)",60.4
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,407854.514176,4597.9,37.13,9.32,5.79,195.001,35.1,80.5,80.53774,53.898422,25.995193,0.33,11.822075994606784,-0.13683794582095565,True,47.61904761904761,92.85714285714286,14.285714285714285,95.23809523809524,whole-list fallback (small sector group),60.1
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,438245.7331712,13939.0,14.43,6.55,8.01,0.096,-6.4,28.2,31.12565,22.42522,4.0897617,0.96,-17.074186447736327,-19.390469581309276,False,61.904761904761905,71.42857142857142,85.71428571428571,9.523809523809524,whole-list fallback (small sector group),59.8
WIPRO.NS,WIPRO LTD,Technology,171734.6369536,173.61,15.44,6.91,14.25,22.853,-1.6,7.7,13.844498,12.1072855,2.054313,9.83,-34.2347893921167,-34.68582193233257,False,33.333333333333336,50.0,100.0,50.0,"sector (Technology, n=4)",57.5
HDFCBANK.NS,HDFC BANK LTD,Financial Services,1262898.9575168,820.0,13.82,1.7,26.83,,7.5,-1.8,18.738575,13.027248,2.1538818,1.57,-12.168765090305833,-17.705368745108064,False,62.5,62.5,62.5,25.0,"sector (Financial Services, n=4)",55.0
HCLTECH.NS,HCL TECHNOLOGIES LTD,Technology,311514.9164544,1151.3,23.36,12.83,12.8,6.935,-0.2,5.3,19.143665,14.373038,4.16472,8.22,-28.27326134840291,-32.161102034947554,False,58.333333333333336,37.5,50.0,66.66666666666667,"sector (Technology, n=4)",52.7
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1747448.233984,1291.3,9.14,3.67,7.64,36.653,-12.6,12.5,22.194914,17.992418,1.9329537,0.46,-13.756775605196081,-18.528515939778288,False,38.095238095238095,42.857142857142854,100.0,19.047619047619047,whole-list fallback (small sector group),51.0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,368715.4712576,370.7,11.39,2.05,26.05,,9.8,-11.0,19.718086,15.381743,2.0354376,0.17,-13.549434990653275,-16.761445380235816,False,50.0,68.75,50.0,25.0,"sector (Financial Services, n=4)",49.7
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1209051.9584768,1938.0,19.36,7.85,12.65,99.718,-34.0,15.7,43.757053,23.726376,7.600894,0.83,-7.94661306929857,-10.389788516438426,False,61.904761904761905,50.0,42.857142857142854,33.333333333333336,whole-list fallback (small sector group),48.5
LT.NS,LARSEN & TOUBRO LTD.,Industrials,539313.3600768,3920.2,16.95,4.59,5.51,97.64,-34.5,11.7,34.375656,21.359383,4.934359,0.95,-4.7753246103217295,-10.402889446927743,False,38.095238095238095,21.428571428571427,71.42857142857143,33.333333333333336,whole-list fallback (small sector group),41.3
